residence	address	registration	current_location 	company	birthdate	ssn	user_id	username	mail	name	blood_group	station_ID
	"Johannring 9/6
88517 Gardelegen"	29 Oct 2024	(Decimal('-44.030755'), Decimal('-179.871703'))	Ruppert GmbH	1959-09-28	891-82-2657	43	zmans	nortmann@googlemail.com	Carla Aumann	A-	57
	"Quadra de Andrade, 70
Vila Barragem Santa Lúcia
40073-923 Rezende / ES"	24 Aug 2020	(Decimal('87.216722'), Decimal('-85.134979'))	Ferreira		71948650339	929	joao-vitorcosta	aurorafogaca@uol.com.br	Rafaela da Cunha	O+	421
	"Barkholzallee 5/6
68563 Biedenkopf"	23 Sep 2023	(Decimal('-81.3693865'), Decimal('-33.708558'))	Eckbauer Bärer AG & Co. OHG		781-68-4915	1704	reinhardtmonique	frank49@gmx.de	Dipl.-Ing. Zlatko Eckbauer B.Sc.	B+	589
	京都府東大和市浅草23丁目26番2号 元浅草コーポ443	30 Mar 2025	(Decimal('45.759414'), Decimal('170.876357'))	株式会社加藤情報	1941-10-29	387-65-1438	1398	dsaito	fsato@yahoo.com	坂本 春香	B+	710
	"9216 Jeremy Loaf
South Jennifershire, TN 79254"	29 Jan 2019	(Decimal('-12.2925165'), Decimal('127.981694'))	Greene and Sons	1926-10-20	128-76-7535	506	sheiladavidson	carterjessica@gmail.com	Melody Anderson	B-	471
	"Rotonda Giuseppe, 334
15078, Rocca Grimalda (AL)"	09/16/2021, 00:00:00	(Decimal('55.9822785'), Decimal('-85.968305'))	Turati-Briccialdi e figli		FTTMRN41A19D915U	1945	wcasagrande	dino91@gmail.com	Giuliana Maffei	AB-	142
	"Viale Disdero, 58
13031, Arborio (VC)"	2024/03/10	(Decimal('-82.1166945'), Decimal('-15.262065'))	Salvo, Antonelli e Renault s.r.l.	1911-08-01	PCLGRL24E23C823N	727	lancisimichelangelo	olgasegni@libero.it	Ivan Abatantuono-Jovinelli	AB+	682
	山口県新宿区木立36丁目14番11号 コーポ手岡160	2022/06/15	(Decimal('39.406814'), Decimal('-44.611693'))	藤田銀行有限会社	1971-08-01	885-21-5829	1329	tomoya24	kumiko77@hotmail.com	佐藤 涼平	B+	493
		05/01/2020, 00:00:00	(Decimal('22.212229'), Decimal('104.706950'))	Interminei-Papetti s.r.l.	2014-10-10	SRGCML50S44H147L	363	fabrizicalcedonio	fantinicassandra@yahoo.com	Paoletta Babati	AB-	325
	"Biggenweg 7/2
53554 Ilmenau"	2023-03-13	(Decimal('-47.1206135'), Decimal('6.318523'))	Tschentscher		473-32-8290	740	deniseheinrich	arzukobelt@aol.de	Univ.Prof. Tassilo Heß B.A.	A-	621
	"Gerwin-Ritter-Platz 996
42388 Bad Langensalza"	2019/08/10	(Decimal('88.415716'), Decimal('-100.862631'))	Holt KGaA		366-86-4004	1909	oliverschaefer	thomaskiller@gmail.com	Prof. Elizabeth Weitzel	B-	40
	東京都町田市高田馬場17丁目23番5号	2019/07/22	(Decimal('-13.7382475'), Decimal('-99.319811'))	三浦銀行有限会社		739-69-5710	273	kishikawa	takahashinanami@hotmail.com	佐藤 幹	O+	252
		17 May 2019	(Decimal('-77.5402355'), Decimal('-133.607307'))	Rivera, Brown and Martin	1942-09-08	319-99-7748	701	christopherkennedy	lindseybutler@hotmail.com	Edward Mendoza	O-	373
	"Sieringstraße 65/71
26885 Hohenmölsen"	2018-10-05	(Decimal('-58.188234'), Decimal('114.902904'))	Gutknecht		324-23-0775	250	beatrice37	krystynabarkholz@hotmail.de	Henner Henk	B-	71
		2022/03/20	(Decimal('7.7507945'), Decimal('-42.846609'))	伊藤農林合同会社		711-49-8943	1898	yumikosasaki	ryosukekimura@gmail.com	後藤 裕樹	AB+	286
	"Esplanada Andrade, 3
Vila Antena
64066572 Freitas / MS"	2019/08/26	(Decimal('-62.4724915'), Decimal('61.509813'))	Fonseca		95438720150	1610	pietroborges	santosthomas@ig.com.br	Ana Carolina Fonseca	O+	675
	"08576 Thomas Islands Suite 764
Parsonston, FL 13514"	08 Mar 2022	(Decimal('-22.085889'), Decimal('-61.966557'))	Ali Inc	2008-07-25	561-73-7476	1728	tammyrhodes	lorettanguyen@hotmail.com	Sean Torres	AB-	108
	"3621 Harrell Glens
East Christopherstad, AL 43455"	06 Nov 2019	(Decimal('-89.715583'), Decimal('-13.939763'))	Ross, Wilson and King	2016-08-26	592-65-0555	1727	louis28	thomas60@gmail.com	Mrs. Lisa Nash	A+	691
	"Incrocio Iadanza, 72 Appartamento 40
86093, Carpinone (IS)"	2022-05-05	(Decimal('-7.7349655'), Decimal('-136.883248'))	Samele-Priuli s.r.l.	1949-07-07	BDGDNL53S28C782D	1803	ruggieroargentero	giovannaletta@tim.it	Rosario Mercati	AB-	701
	"Vicolo Fabrizio, 791
02012, Santa Giusta (RI)"	2019/06/15	(Decimal('83.700325'), Decimal('-65.750514'))	Turati-Samele s.r.l.	1916-05-30	CTNPLA04B01H267Z	546	alessiazaccardo	casagrandeisabella@tin.it	Flavio Bazzi	B+	636
	"13442 Compton Vista Apt. 481
Greerstad, GA 65971"	2020/03/27	(Decimal('18.778342'), Decimal('114.087728'))	Davis-Williams		424-88-2538	1479	jonathanmorris	sellersjason@gmail.com	Steven Banks	A-	346
	"Alameda Gabriel Ramos, 108
Lagoinha Leblon
91114-363 Sousa das Pedras / PE"	03/01/2024, 00:00:00	(Decimal('-77.430388'), Decimal('-145.835523'))	Farias		80941356701	299	araujogustavo-henrique	davi-miguelvasconcelos@uol.com.br	Ísis da Luz	B+	575
	青森県三鷹市九段南14丁目7番2号 コート藤金689	09 Aug 2022	(Decimal('-72.5376255'), Decimal('-173.631226'))	石川情報有限会社		011-34-7180	1888	watanabeakira	dmiura@hotmail.com	佐藤 春香	A+	726
	"95834 Daniel Forge
Lake Anna, IA 84563"	2023/01/13	(Decimal('0.3008715'), Decimal('-172.690819'))	Suarez-Clark		882-95-4690	805	iwhite	john23@hotmail.com	Lisa Lewis	O-	547
	"Estação de Brito, 50
Sagrada Família
04910-822 Cavalcante do Galho / ES"	06/21/2019, 00:00:00	(Decimal('61.3933205'), Decimal('70.390052'))	Gonçalves	2000-06-05	17324065961	25	maria-luizabarbosa	gomeskaique@bol.com.br	Luigi Cavalcante	A+	326
	福井県杉並区虎ノ門虎ノ門ヒルズ森タワー5丁目15番19号 蟇沼ハイツ452	2024-11-25	(Decimal('-31.778543'), Decimal('154.745780'))	合同会社渡辺食品	1989-09-01	274-79-0916	1229	fujitayuki	jyamamoto@yahoo.com	松田 舞	AB+	262
	"16201 Michael Cliff Suite 896
Lake Kayla, MT 57245"	21 Mar 2024	(Decimal('39.760149'), Decimal('5.115945'))	Novak-Alexander		311-03-1700	1999	roger77	dduffy@hotmail.com	Dale Powers	O-	119
	"Cäcilie-Heydrich-Gasse 588
97187 Vechta"	2019/08/20	(Decimal('-68.0070665'), Decimal('-79.980673'))	Hänel Ullrich GmbH		960-61-8463	1503	wholt	ronkaester@gmail.com	Silva Graf	AB-	728
	"Strada Bianca, 355
84068, Pioppi (SA)"	2022/12/03	(Decimal('48.336552'), Decimal('-133.676639'))	Crisafulli, Prodi e Tosto SPA	1931-03-31	BDRFST66S49D440S	568	blasiluigina	iborroni@vodafone.it	Bianca Nicoletti-Rossi	AB+	424
	"Ladeira de Macedo, 767
Apolonia
44846-276 Freitas / PI"	2020/08/09	(Decimal('74.869130'), Decimal('-89.173193'))	Almeida	1970-12-21	72416983555	2076	anthony68	guilherme05@yahoo.com.br	Maria Laura Cardoso	A-	183
	"Maurizio-Sager-Platz 2/1
33532 Wolfach"	2020/02/29	(Decimal('-66.3032505'), Decimal('25.311816'))	Anders Weimer KG	2007-11-15	836-50-6036	40	hoevelmargarete	ringkrzysztof@web.de	Kira Dietz-Holzapfel	B-	167
	"Recanto de Leão, 91
Madri
04799-572 Montenegro / RS"	2024-06-30	(Decimal('-45.7444815'), Decimal('171.820152'))	Novais		68014592794	574	joao-guilhermemoraes	josueda-mata@uol.com.br	Vinicius Abreu	O+	62
	山口県福生市西関宿28丁目21番19号	2022/01/14	(Decimal('89.0146405'), Decimal('108.566418'))	福田鉱業株式会社	2014-01-24	042-34-8332	587	sinoue	jmiura@hotmail.com	井上 明美	AB+	527
	"Pátio Lopes, 1
Lagoinha Leblon
31815-199 Castro de Marques / SE"	2021-05-20		Rocha - EI		05384726180	1212	qfarias	sjesus@yahoo.com.br	Srta. Bella da Cruz	A+	442
	"Vicolo Giorgia, 63
24058, Fara Olivana Con Sola (BG)"	19 Jan 2023	(Decimal('83.781182'), Decimal('-142.644279'))	Granatelli-Crispi s.r.l.	1926-03-12	STTVRL03T51E726Q	1530	nmaderno	balbomaura@tim.it	Tatiana Cassarà	A-	503
	"Geislergasse 7
30455 Karlsruhe"	2025/06/15	(Decimal('85.6368635'), Decimal('-76.384790'))	Schlosser	1938-11-27	914-92-8970	1375	franz-peterbloch	antoinettefoerster@googlemail.com	Ann Aumann	A+	321
	"Fazenda Ísis Aparecida, 3
Carlos Prates
70929-962 Novaes do Galho / ES"	06 May 2019	(Decimal('8.7645155'), Decimal('169.762173'))	Cirino		95670823168	211	prezende	vpacheco@ig.com.br	Bárbara Novaes	A-	733
	"Gerlinde-Eigenwillig-Gasse 485
86239 Prenzlau"	2021-08-04	(Decimal('17.337510'), Decimal('116.099530'))	Speer Köster GmbH	1982-07-07	416-96-3299	1685	dowerghelfried	qbaehr@web.de	Imke Stiffel	B-	362
	"Stretto Alderano, 7
29016, Cortemaggiore (PC)"	2019-11-28		Biagi-Modugno Group	2025-07-01	TRNMRL59S16A062O	1696	zmaspero	ferruccifiorenzo@fastwebnet.it	Sig. Ansaldo Tolentino	AB+	115
	"Canale Schiaparelli, 97
28896, Quarna Sotto (VB)"	2020-08-26	(Decimal('4.804991'), Decimal('0.423021'))	Gianvecchio, Spallanzani e Parmitano SPA		BZOMRN83B27M332H	1434	rosina21	benito60@hotmail.com	Dott. Carlo Cassarà	AB+	55
	"Eimerweg 15-65
94967 Kassel"	2019/03/24	(Decimal('-0.7765385'), Decimal('47.546977'))	Karge	1925-09-23	619-47-2021	497	xsager	deborahditschlerin@gmail.com	Prof. Lotti Flantz MBA.	O-	596
	"Viale Arnulfo, 5 Appartamento 74
58015, Fonteblanda (GR)"	05 Jan 2025	(Decimal('86.0160215'), Decimal('-153.744815'))	Ruggieri SPA	1975-08-01	SCRRGR81T59F307E	1828	aurora74	pieropolani@virgilio.it	Vittorio Campise	AB+	21
	大阪府川崎市宮前区松が谷18丁目7番12号 下宇和田パーク374	08/29/2022, 00:00:00	(Decimal('68.872607'), Decimal('142.654803'))	高橋農林株式会社		831-84-0667	39	lsuzuki	yukitanaka@gmail.com	佐藤 聡太郎	A-	133
	"Trevo Ribeiro, 36
Conjunto Floramar
41999141 Camargo / RO"	2025/07/22	(Decimal('2.7103435'), Decimal('159.938821'))	Fernandes	2019-05-16	37428109523	188	bernardonogueira	barbosaanthony@hotmail.com	Eduarda Moreira	AB+	727
	"Otto-Graf-Straße 90-32
80004 Stadtroda"	2019-10-18	(Decimal('74.353847'), Decimal('-136.105637'))	Bolnbach Bien OHG mbH	1919-06-21	418-38-7798	402	lena59	kochkilian@gmail.com	Dr. Catharina Stadelmann B.Eng.	O-	575
	秋田県羽村市下吉羽21丁目19番7号 ハイツ六番町213	24 Jul 2025	(Decimal('-45.180468'), Decimal('-139.419898'))	渡辺電気有限会社	1942-12-31	284-37-0368	1594	kobayashiyuta	katoyoichi@gmail.com	渡辺 翼	AB-	151
	"Rotonda Giosuè, 430 Appartamento 5
25027, Quinzano D'Oglio (BS)"	2018/12/22	(Decimal('57.904905'), Decimal('45.241935'))	Olivetti Group	1976-07-22	MRNNNS47M20A817Y	1808	gianluigiorsini	xbeccheria@live.com	Lara Almagià	B-	499
	"0551 Thomas Stravenue Apt. 517
Freemanberg, CA 04693"	08/20/2024, 00:00:00	(Decimal('15.569885'), Decimal('-115.998288'))	Lane LLC	2004-08-22	713-80-4284	712	james60	fcooper@yahoo.com	Devin Torres Jr.	A+	574
	"53676 Nichole Dale Suite 658
East Scott, DC 06808"	2022/07/14	(Decimal('32.746814'), Decimal('-65.698893'))	May LLC	2002-10-16	112-24-0957	981	ramirezantonio	jasonbrooks@hotmail.com	Peter Warren	A+	101
		06/08/2024, 00:00:00	(Decimal('-43.107774'), Decimal('-115.474613'))	有限会社清水電気		650-15-9542	1276	mituru23	nyamashita@hotmail.com	鈴木 千代	A-	512
		2018-12-04	(Decimal('-8.692621'), Decimal('-71.791364'))	Vasconcelos	1940-11-30	72690134543	860	diaslivia	maria-laurarezende@uol.com.br	Daniela Santos	AB-	471
	"Recanto de Cirino, 538
Canaa
27611922 Camargo / RR"	2025-08-15	(Decimal('7.130925'), Decimal('-136.847472'))	Cardoso	1990-03-18	48207659300	2002	lucas18	duartemiguel@yahoo.com.br	Isaac Teixeira	AB+	310
	"Vicolo Tonino, 73
41022, Dogana Nuova (MO)"	2024/07/25	(Decimal('36.9155145'), Decimal('150.780253'))	Versace e figli		PCCGVN58A60D935E	1580	sole04	notarbartolodurante@virgilio.it	Giovanni Fantozzi-Ritacca	B+	426
		2024/01/16	(Decimal('-2.486444'), Decimal('-111.975260'))	井上電気株式会社		637-27-9471	804	ayamashita	yoshidahanako@hotmail.com	木村 千代	AB+	558
	"Frithjof-Seifert-Gasse 55-96
55598 Kitzingen"	2023/10/26	(Decimal('-80.7687755'), Decimal('-116.609561'))	Ziegert GbR	1939-06-04	486-21-0975	1287	ursulascheuermann	aloys72@googlemail.com	Leonie Gehringer-Ullrich	O+	261
		08/19/2019, 00:00:00	(Decimal('-78.9596525'), Decimal('-41.091833'))	Morris, Ellis and George	2016-09-02	599-34-2873	701	cassandra82	robertsstephanie@yahoo.com	Michael Bishop	AB+	153
	"1090 Tamara Station
Lake Alexland, IA 20804"	12/17/2023, 00:00:00	(Decimal('-34.6359085'), Decimal('-10.964551'))	Carter-Hayes		180-12-9782	1076	shenry	ewhite@gmail.com	Dean Horton	B-	369
	和歌山県世田谷区中三依42丁目1番1号	2023-08-01	(Decimal('75.0092155'), Decimal('-43.260360'))	有限会社斉藤印刷		170-09-3964	1576	momoko98	kondokyosuke@gmail.com	佐藤 加奈	O+	516
	高知県川崎市宮前区虎ノ門虎ノ門ヒルズ森タワー30丁目17番14号 箪笥町ハイツ204	12/10/2018, 00:00:00	(Decimal('-18.8943085'), Decimal('-47.522718'))	藤井ガス株式会社	2025-08-04	391-02-0876	836	vsasaki	akiragoto@yahoo.com	加藤 香織	B-	701
	"Borgo Fantozzi, 87 Piano 9
38086, Giustino (TN)"	2021-01-01	(Decimal('-77.771991'), Decimal('-172.771592'))	Canova-Fusani e figli	1922-11-15	BRTCPN76R63G959Q	1441	vmocenigo	hmontanariello@yahoo.com	Fabia Tiepolo	O-	586
	"Setor Mendonça, 902
Manacas
80948766 da Conceição de Freitas / RR"	2022-07-30	(Decimal('-23.9584175'), Decimal('-72.949614'))	da Rosa Gonçalves - EI	1980-10-05	41936052806	1875	melissa75	eda-rosa@yahoo.com.br	Sr. Daniel Cirino	AB-	717
		2020-10-01	(Decimal('52.257607'), Decimal('69.949248'))	Cameron, Collins and Ho	1973-07-01	167-18-0748	1910	jstevens	timothy61@hotmail.com	Frank Gomez	B-	337
	"Incrocio Antonetti, 439 Appartamento 7
92011, Cattolica Eraclea (AG)"	2018-10-01	(Decimal('-20.5877775'), Decimal('-63.056854'))	Faranda, Ortese e Fantini e figli		DSCNNS23R10E329D	1662	toldocristina	xbattisti@hotmail.com	Daniele Monaco	AB+	46
	"Edelgard-Röhricht-Straße 0
17328 Pirmasens"	2020-07-03	(Decimal('82.8267975'), Decimal('-31.147684'))	Schäfer AG & Co. KGaA	1984-07-30	999-98-9995	1042	grete06	friedholdbolander@web.de	Gabi Heydrich B.Eng.	B-	469
	"8495 Nicole Port
Jefferymouth, AR 42379"	06 Jun 2025	(Decimal('25.9114265'), Decimal('41.136417'))	Park-Ramirez		747-35-9958	1762	jacksonbonnie	watsonlarry@hotmail.com	Timothy Hood	A+	276
	"Vereda Almeida, 14
Ipiranga
24035973 Santos / AL"	2025/03/28	(Decimal('20.6616805'), Decimal('-132.717175'))	Duarte Moreira Ltda.	1974-03-14	89203574123	1575	ana-laurarezende	costatheo@ig.com.br	Maria Isis Melo	B-	320
	"Residencial de Araújo, 459
Maria Goretti
96210-923 Aragão das Flores / TO"	2024-09-02		Silva Ltda.		95726830474	1717	carlos-eduardo74	leticia94@bol.com.br	Maria Julia Lopes	A+	311
	"01403 Sanchez Points Suite 813
Buchananbury, MP 23850"	2022/04/11	(Decimal('19.5980865'), Decimal('-1.134294'))	Williams PLC	1966-11-29	163-06-4354	1609	hamptondaniel	jessica95@hotmail.com	Denise Martin	O-	406
	大分県富津市西川31丁目4番16号	14 Oct 2023	(Decimal('62.031515'), Decimal('-3.764934'))	合同会社渡辺印刷		313-58-2722	1095	yoichisato	lyamashita@hotmail.com	田中 七夏	A-	265
	"Viale Claudio, 8 Appartamento 42
25080, Puegnago Sul Garda (BS)"	07/23/2024, 00:00:00	(Decimal('59.565513'), Decimal('155.694452'))	Baresi, Pederiva e Boccherini Group		BRGLDC29P53C769X	2085	amedeoguidotti	edoardopedrazzini@fastwebnet.it	Lisa Morandini	O+	377
	"Contrada Toscanini, 531
34146, Trieste (TS)"	14 Feb 2020	(Decimal('-0.2521205'), Decimal('23.754580'))	Paolucci, Fantozzi e Sabbatini s.r.l.	1923-03-05	RRGDRN13L31F780B	478	agostino46	maurosolari@vodafone.it	Torquato Vercelloni-Faranda	A-	306
	"Viale Marco, 27
40036, Vado (BO)"	2023/01/13		Gotti-Zoppetti SPA	1931-05-10	BTNGNR64M54H806S	702	sordiniccolo	calarcoromeo@virgilio.it	Letizia Carpaccio	B+	224
	"Ringallee 1/6
86930 Rosenheim"	2019-01-07	(Decimal('70.775770'), Decimal('-56.944567'))	Schottin		978-20-9415	693	kazimjaentsch	aschulz@gmail.com	Heinrich Reichmann	A+	310
	"Zänkergasse 3865
90028 Roding"	2021-11-29	(Decimal('-47.316980'), Decimal('-70.288659'))	Kohl GmbH	1939-11-28	262-88-9555	1823	zirmeuschi	haeringremo@gmx.de	Gunter Römer B.Eng.	AB-	679
	"Lagoa Pedro Lucas Vasconcelos, 35
Etelvina Carneiro
42777-743 da Rosa das Flores / SP"	18 Dec 2023	(Decimal('-38.3271865'), Decimal('-62.016893'))	Pinto		72319485023	437	ana-ceciliafarias	pintodavi@ig.com.br	Brenda Rodrigues	AB+	364
		22 Nov 2020		Ullrich Kranz GbR	1998-10-24	455-82-7523	1708	hildegund90	raymondhartmann@hotmail.de	Margot Müller-Kühnert	AB-	495
	"Incrocio Ettore, 7
17038, Villanova D'Albenga (SV)"	01/29/2020, 00:00:00	(Decimal('-60.7405645'), Decimal('75.516897'))	Petrassi-Tartini e figli		CRBLLL25C19B711A	405	cesarebottigliero	biagiobernini@poste.it	Carmelo Baggio	B-	433
	高知県我孫子市皇居外苑32丁目10番12号	2025-02-25	(Decimal('-19.836113'), Decimal('-147.028681'))	田中保険合同会社	2018-09-27	634-68-1976	1195	eabe	hashimotonanami@gmail.com	岡田 淳	AB-	581
	"Canale Gianni, 6
37100, Verona (VR)"	04/20/2020, 00:00:00	(Decimal('-63.1160245'), Decimal('-129.350498'))	Boaga, Romagnoli e Bazzi s.r.l.	2017-04-01	CRFSBL59E18I394S	1673	morriconefredo	slittizzetto@libero.it	Livia Sandi	O-	608
	"Chácara de da Rosa, 2
Vila Nova Gameleira 1ª Seção
33719847 Caldeira Verde / PI"	2021-04-23	(Decimal('47.8594395'), Decimal('25.396021'))	Ramos	2021-10-01	45397810223	52	martinscaue	brenobarbosa@hotmail.com	Sarah Silva	B+	202
		2022/03/19	(Decimal('21.9290595'), Decimal('19.264231'))	Liebelt Butte AG		302-85-3159	1904	ygierschner	uknappe@yahoo.de	Liliana Huhn	AB-	575
	岡山県君津市台場14丁目4番1号 西関宿シャルム972	2021/01/29	(Decimal('85.1409895'), Decimal('-12.051480'))	合同会社藤原水産	2007-03-10	731-12-1662	1388	lnakamura	ishiishohei@yahoo.com	高橋 千代	A+	582
	"7240 Derek Green
Rodriguezfurt, IA 17727"	2025-04-01	(Decimal('-7.914067'), Decimal('-122.627873'))	Kelley, Tucker and Wu		674-29-4909	1446	brandonfriedman	kmcdonald@gmail.com	Heather Davis	O+	243
	"Siegrun-Fischer-Weg 33/16
91002 Soltau"	02 Feb 2020	(Decimal('-88.594229'), Decimal('64.687041'))	Kreusel Schleich OHG mbH		152-78-3562	276	stefanoruppert	monique48@hotmail.de	Frau Gülsen Trüb B.Sc.	AB+	337
	"Ingrid-Lübs-Gasse 772
90352 Wolgast"	2023-05-20	(Decimal('-40.547702'), Decimal('76.367545'))	Junitz e.G.		797-32-0243	2091	alfred70	tgutknecht@googlemail.com	Marlies Vogt	A+	547
		2020-04-30	(Decimal('41.5782345'), Decimal('-11.396425'))	Montecchi-Barsanti Group		PTRBTC41R05A177Y	1958	pvismara	guicciardinilolita@fastwebnet.it	Dott. Elena Forza	A-	226
		24 May 2021	(Decimal('39.445127'), Decimal('-109.116955'))	Naser GbR		414-91-9658	1783	marianne72	hellwigclaus-dieter@gmail.com	Reimar Mende	A-	528
	"446 Andrew Summit Suite 588
North Anthonyhaven, AR 14557"	2019-08-26	(Decimal('60.9084185'), Decimal('58.237433'))	Dominguez-Grimes	1912-04-08	514-59-8829	216	pecksteven	olivia01@yahoo.com	Aaron Decker	AB+	570
	"Contrada Giuliana, 44
98055, Lipari (ME)"	2025/02/14	(Decimal('56.7987805'), Decimal('-168.642685'))	Proietti e figli	2015-04-05	TRPLDC85E23I206U	1875	gianna65	erika25@yahoo.com	Sig. Goffredo Paolucci	O-	603
