registration;latitude;longitude;birthdate;ssn;mail;blood_group;station_ID;user_id
2020-08-09;74.86913;-89.173193;1970-12-21;72416983555;guilherme05@yahoo.com.br;A-;183;
2020-02-29;-66.3032505;25.311816;2007-11-15;836-50-6036;ringkrzysztof@web.de;B-;167;
2024-06-30;-45.7444815;171.820152;;68014592794;mata@uol.com.br;O+;62;
2022-01-14;89.0146405;108.566418;2014-01-24;042-34-8332;jmiura@hotmail.com;AB+;527;
2022-01-14;;;2014-01-24;05384726180;sjesus@yahoo.com.br;A+;442;
2023-01-19;83.781182;-142.644279;1926-03-12;STTVRL03T51E726Q;balbomaura@tim.it;A-;503;
2025-06-15;85.6368635;-76.38479;1938-11-27;914-92-8970;antoinettefoerster@googlemail.com;A+;321;
2019-05-06;8.7645155;169.762173;;95670823168;vpacheco@ig.com.br;A-;733;
2021-08-04;17.33751;116.09953;1982-07-07;416-96-3299;qbaehr@web.de;B-;362;
2019-11-28;;;2025-07-01;TRNMRL59S16A062O;ferruccifiorenzo@fastwebnet.it;AB+;115;
2020-08-26;4.804991;0.423021;;BZOMRN83B27M332H;benito60@hotmail.com;AB+;55;
2019-03-24;-0.7765385;47.546977;1925-09-23;619-47-2021;deborahditschlerin@gmail.com;O-;596;
2025-01-05;86.0160215;-153.744815;1975-08-01;SCRRGR81T59F307E;pieropolani@virgilio.it;AB+;21;
2022-08-29;68.872607;142.654803;;831-84-0667;yukitanaka@gmail.com;A-;133;
2025-07-22;2.7103435;159.938821;2019-05-16;37428109523;barbosaanthony@hotmail.com;AB+;727;
2019-10-18;74.353847;-136.105637;1919-06-21;418-38-7798;kochkilian@gmail.com;O-;575;
2025-07-24;-45.180468;-139.419898;1942-12-31;284-37-0368;katoyoichi@gmail.com;AB-;151;
2018-12-22;57.904905;45.241935;1976-07-22;MRNNNS47M20A817Y;xbeccheria@live.com;B-;499;
2024-08-20;15.569885;-115.998288;2004-08-22;713-80-4284;fcooper@yahoo.com;A+;574;
2022-07-14;32.746814;-65.698893;2002-10-16;112-24-0957;jasonbrooks@hotmail.com;A+;101;
2024-06-08;-43.107774;-115.474613;;650-15-9542;nyamashita@hotmail.com;A-;512;
2018-12-04;-8.692621;-71.791364;1940-11-30;72690134543;laurarezende@uol.com.br;AB-;471;
2025-08-15;7.130925;-136.847472;1990-03-18;48207659300;duartemiguel@yahoo.com.br;AB+;310;
2024-07-25;36.9155145;150.780253;;PCCGVN58A60D935E;notarbartolodurante@virgilio.it;B+;426;
2024-01-16;-2.486444;-111.97526;;637-27-9471;yoshidahanako@hotmail.com;AB+;558;
2023-10-26;-80.7687755;-116.609561;1939-06-04;486-21-0975;aloys72@googlemail.com;O+;261;
2019-08-19;-78.9596525;-41.091833;2016-09-02;599-34-2873;robertsstephanie@yahoo.com;AB+;153;
2023-12-17;-34.6359085;-10.964551;;180-12-9782;ewhite@gmail.com;B-;369;
2023-08-01;75.0092155;-43.26036;;170-09-3964;kondokyosuke@gmail.com;O+;516;
2018-12-10;-18.8943085;-47.522718;2025-08-04;391-02-0876;akiragoto@yahoo.com;B-;701;
2021-01-01;-77.771991;-172.771592;1922-11-15;BRTCPN76R63G959Q;hmontanariello@yahoo.com;O-;586;
2022-07-30;-23.9584175;-72.949614;1980-10-05;41936052806;rosa@yahoo.com.br;AB-;717;
2020-10-01;52.257607;69.949248;1973-07-01;167-18-0748;timothy61@hotmail.com;B-;337;
2018-10-01;-20.5877775;-63.056854;;DSCNNS23R10E329D;xbattisti@hotmail.com;AB+;46;
2020-07-03;82.8267975;-31.147684;1984-07-30;999-98-9995;friedholdbolander@web.de;B-;469;
2025-06-06;25.9114265;41.136417;;747-35-9958;watsonlarry@hotmail.com;A+;276;
2025-03-28;20.6616805;-132.717175;1974-03-14;89203574123;costatheo@ig.com.br;B-;320;
2025-03-28;;;1974-03-14;95726830474;leticia94@bol.com.br;A+;311;
2022-04-11;19.5980865;-1.134294;1966-11-29;163-06-4354;jessica95@hotmail.com;O-;406;
2023-10-14;62.031515;-3.764934;;313-58-2722;lyamashita@hotmail.com;A-;265;
2024-07-23;59.565513;155.694452;;BRGLDC29P53C769X;edoardopedrazzini@fastwebnet.it;O+;377;
2020-02-14;-0.2521205;23.75458;1923-03-05;RRGDRN13L31F780B;maurosolari@vodafone.it;A-;306;
2023-01-13;;;1931-05-10;BTNGNR64M54H806S;calarcoromeo@virgilio.it;B+;224;
2019-01-07;70.77577;-56.944567;;978-20-9415;aschulz@gmail.com;A+;310;
2021-11-29;-47.31698;-70.288659;1939-11-28;262-88-9555;haeringremo@gmx.de;AB-;679;
2023-12-18;-38.3271865;-62.016893;;72319485023;pintodavi@ig.com.br;AB+;364;
2020-11-22;;;1998-10-24;455-82-7523;raymondhartmann@hotmail.de;AB-;495;
2020-01-29;-60.7405645;75.516897;;CRBLLL25C19B711A;biagiobernini@poste.it;B-;433;
2025-02-25;-19.836113;-147.028681;2018-09-27;634-68-1976;hashimotonanami@gmail.com;AB-;581;
2020-04-20;-63.1160245;-129.350498;2017-04-01;CRFSBL59E18I394S;slittizzetto@libero.it;O-;608;
2021-04-23;47.8594395;25.396021;2021-10-01;45397810223;brenobarbosa@hotmail.com;B+;202;
2022-03-19;21.9290595;19.264231;;302-85-3159;uknappe@yahoo.de;AB-;575;
2021-01-29;85.1409895;-12.05148;2007-03-10;731-12-1662;ishiishohei@yahoo.com;A+;582;
2025-04-01;-7.914067;-122.627873;;674-29-4909;kmcdonald@gmail.com;O+;243;
2020-02-02;-88.594229;64.687041;;152-78-3562;monique48@hotmail.de;AB+;337;
2023-05-20;-40.547702;76.367545;;797-32-0243;tgutknecht@googlemail.com;A+;547;
2020-04-30;41.5782345;-11.396425;;PTRBTC41R05A177Y;guicciardinilolita@fastwebnet.it;A-;226;
2021-05-24;39.445127;-109.116955;;414-91-9658;dieter@gmail.com;A-;528;
2019-08-26;60.9084185;58.237433;1912-04-08;514-59-8829;olivia01@yahoo.com;AB+;570;
2025-02-14;56.7987805;-168.642685;2015-04-05;TRPLDC85E23I206U;erika25@yahoo.com;O-;603;
2022-09-19;-16.174466;65.836336;1916-03-14;383-70-5123;xdelacruz@yahoo.com;B+;494;
2025-01-23;65.32989;-153.527432;1992-06-10;784-46-4108;frithjof37@web.de;AB+;306;
2025-04-24;;;1918-06-08;258-73-6102;adam82@yahoo.com;AB+;317;
2023-01-17;-43.5000555;-35.7564;;590-40-9278;sandrastevens@yahoo.com;AB-;291;
2022-10-31;-10.674487;-165.76591;;387-73-3819;ziegertcarin@aol.de;AB+;291;
2022-10-14;-53.599321;-164.439451;;453-20-0220;linda98@gmail.com;A+;537;
2022-11-05;36.9720485;-2.195695;;63421805717;levisales@bol.com.br;AB+;16;
2022-06-02;34.150558;52.756103;;352-44-0770;satomiyamamoto@yahoo.com;A+;26;
2024-06-11;-35.6112195;163.444633;;770-28-6502;hvance@yahoo.com;AB-;99;
2020-09-27;-33.2430765;-169.364902;1936-11-28;781-06-8174;hanako22@yahoo.com;AB+;590;
2023-11-17;83.6151455;-78.887647;;FRRNTN05P54F473Z;amedeozamorani@hotmail.it;AB+;183;
2019-11-23;-18.034415;36.510365;1987-12-26;CHGVTR27L49E808G;giuliafilogamo@poste.it;O-;648;
2024-08-20;-22.5413675;51.852443;1982-10-27;81652074902;raul90@bol.com.br;AB-;560;
2021-01-31;-72.634657;-84.689594;;591-89-7563;patricia24@hotmail.com;O-;126;
2022-05-06;85.2461005;-1.567109;;40397518684;tcassiano@ig.com.br;AB+;213;
2022-07-01;;;1942-10-03;273-39-2470;yamaguchimaaya@gmail.com;AB-;491;
2021-01-18;-8.748719;29.180592;1961-10-25;254-42-6768;itaylor@yahoo.com;AB-;549;
2023-12-10;-16.616095;161.404593;1969-04-30;420-37-9515;sasakimomoko@yahoo.com;A-;411;
2023-01-07;50.0137535;-165.230386;;653-87-8399;keudelbrunhild@web.de;O-;5;
2020-07-22;;;1937-11-18;371-12-3827;taichiota@hotmail.com;AB-;16;
2021-08-06;-31.9493615;-56.219278;1963-05-17;059-34-7801;zfujii@yahoo.com;O-;289;
2024-08-22;-55.816977;-23.801305;;21750684390;miguel84@gmail.com;O-;664;
2023-02-10;-11.7188015;43.868726;1914-07-09;863-50-3063;stonetodd@yahoo.com;O-;422;
2023-12-03;49.767999;156.764531;1979-11-05;302-30-3737;lindsey52@hotmail.com;O+;611;
2021-08-04;-67.942588;-138.275295;2013-08-31;070-51-2000;sfischer@googlemail.com;AB+;169;
2025-05-11;89.677302;-128.191917;1914-09-14;089-37-2893;pachecojon@hotmail.com;B-;611;
2018-09-28;-51.394267;30.86119;1979-12-15;ZCCVLR89H59A452G;jboito@gmail.com;O+;81;
2023-04-01;-14.284406;-8.267368;1917-03-29;32187904687;hcaldeira@gmail.com;O-;64;
2022-08-29;-51.109421;80.991646;;FBBSNN37T69G992F;marissagonzaga@fastwebnet.it;AB+;181;
2020-04-17;-12.3754125;157.806935;1952-11-06;567-19-3981;katrinholzapfel@yahoo.de;A-;631;
2022-10-16;-23.8888935;-157.178511;2003-04-18;997-48-7101;wirthhajo@yahoo.de;AB+;533;
2025-03-11;62.937164;98.06195;;GRRNCL66M65C083P;boldulucia@hotmail.com;B+;633;
2021-10-21;-30.960647;26.819936;;17938642509;pabreu@uol.com.br;B+;739;
2024-11-08;-29.3590865;-154.83084;;301-98-1993;dbudig@gmail.com;O-;53;
2025-08-17;-69.4983315;-139.077695;2021-02-06;426-81-0630;gerald94@gmail.com;AB-;312;
2023-08-25;-49.348951;20.177972;;BTTSNR00T59G421Q;berenice48@hotmail.com;B-;394;
2021-05-01;-73.219513;28.752855;2013-04-08;FLNLNI12P29B332X;nvittadello@tele2.it;O-;518;
2020-12-27;-11.1393255;-66.484422;1961-11-23;984-01-6153;lhendriks@hotmail.de;O-;614;
2022-03-05;21.682217;88.981594;;PTRGGL84D58I344O;guidonealdo@tele2.it;O-;621;
2020-07-17;68.229437;102.276324;1988-12-19;408-51-6064;megan39@yahoo.com;B+;739;
2020-01-03;-23.63825;65.854816;;756-75-1277;maayakato@hotmail.com;O-;669;
2022-10-24;-69.609499;150.994609;1929-04-13;199-60-9436;hermanamber@hotmail.com;A+;360;
2021-10-14;-21.660276;81.275114;;778-76-9227;momoko80@hotmail.com;A+;98;
2019-08-23;-0.910464;-178.203201;1966-11-28;299-79-4407;phillip89@gmail.com;O-;9;
2023-05-25;-45.1859205;74.117392;1978-02-25;557-96-7515;hashimotokaori@hotmail.com;AB+;519;
2021-02-12;;;1964-09-27;344-50-7010;franca89@web.de;O+;148;
2021-02-12;;;1964-09-27;545-20-7503;gmielcarek@gmail.com;B+;724;
2019-03-14;20.933869;-170.625244;;058-63-4267;kumikomori@yahoo.com;AB+;693;
2018-09-25;0.122363;121.752079;;853-09-5922;sotaro61@gmail.com;AB+;98;
2019-10-05;12.6898315;163.28092;;700-95-8934;ingebriemer@aol.de;A+;272;
2021-02-19;4.5312325;-174.022365;;570-36-3141;hashimotonaoko@yahoo.com;A+;416;
2019-04-05;-8.040159;-69.458959;;424-69-2823;reimori@gmail.com;O-;130;
2024-05-02;;;1919-07-02;061-45-6549;luigifreudenberger@aol.de;O-;182;
2019-01-04;-45.2841235;-146.728635;1913-03-05;898-03-5401;hiroshihayashi@gmail.com;B-;563;
2022-10-05;-83.9253755;178.78838;1981-08-20;035-14-0774;qthompson@hotmail.com;O-;457;
2023-01-27;-20.4958585;-171.531212;;PRTSMT07L14L433L;platinibernardo@libero.it;B+;66;
2022-12-19;74.5447005;17.257131;1978-01-12;452-24-4404;cota@yahoo.com;AB-;189;
2020-03-28;-56.502316;172.94363;1963-07-24;103-71-4360;yishii@hotmail.com;O+;223;
2018-10-26;-3.214088;-45.557312;;71543826946;martinsbernardo@ig.com.br;A-;233;
2022-06-18;59.9670295;136.328724;;853-04-7938;tomoya66@gmail.com;A-;67;
2019-08-19;-77.5502075;48.816213;;461-92-2994;naotoito@gmail.com;B-;196;
2024-01-28;-33.732715;85.501871;1925-08-18;60378215930;sophia@hotmail.com;O-;216;
2023-11-16;-65.4484675;-70.078166;;TSCDNL45R67B640H;calcedonioroth@poste.it;AB+;414;
2019-03-27;0.2637585;-154.673328;;888-85-5296;kristen73@hotmail.com;AB-;640;
2019-09-29;45.807986;-0.616256;;371-55-4290;ebertnadine@yahoo.de;A+;530;
2023-03-10;14.1139035;145.572941;1925-07-27;480-31-3066;wrighttravis@yahoo.com;B+;511;
2025-03-07;12.7806305;-119.649959;1933-10-18;CPPFST72B47I855O;eleanoraconte@gmail.com;O-;293;
2024-10-15;;;;705-84-2256;kaoki@hotmail.com;B-;369;
2022-07-03;29.3453155;-121.494058;1943-06-29;465-23-6933;sotarokato@gmail.com;B-;118;
2022-02-11;61.77999;-27.947887;;236-24-2645;rachel78@gmail.com;O+;410;
2019-10-29;-87.9943385;-162.258984;;03284516735;ecamara@hotmail.com;B-;61;
2019-09-26;-14.4333095;-72.500628;;023-94-9445;ssasaki@gmail.com;AB-;489;
2024-01-13;26.487005;174.563978;1914-01-24;02459371616;juliana01@bol.com.br;O-;206;
2024-05-27;51.5569835;-132.760131;;RNCPRS57C55M258V;caterinainnocenti@gmail.com;A+;391;
2024-09-29;-87.247408;90.36578;;030-85-1401;tamara42@yahoo.com;O+;450;
2023-07-21;-63.933665;-104.977017;1998-10-16;28653417044;rebeca51@uol.com.br;AB+;608;
2023-06-02;60.0005005;-31.543357;;90621453706;rafaelalima@yahoo.com.br;O-;209;
2023-10-26;-42.9064525;-28.644967;1987-11-23;536-66-4541;cantutristan@hotmail.com;O+;99;
2019-10-12;-13.1788315;110.362379;1968-10-19;CMPGSV53H62D198E;luxardoaurora@tele2.it;A+;350;
2021-10-28;-3.866822;94.735298;;91068257458;hellena97@uol.com.br;AB+;420;
2019-05-28;82.631159;7.512293;;670-45-5786;ryoheitakahashi@gmail.com;A-;626;
2019-03-31;85.4521865;-113.218578;1993-09-21;659-25-4851;matthewhoward@hotmail.com;A-;425;
2019-10-17;-18.573154;20.054927;;396-87-5037;aperry@hotmail.com;O-;537;
2020-02-18;51.0493935;75.504158;1966-06-01;830-05-7271;shohei49@gmail.com;AB+;720;
2025-04-13;-79.010394;78.544035;;188-16-9475;brandy88@hotmail.com;A+;500;
2019-12-13;-81.3600835;-172.085035;1980-10-23;BXISSN98E14G577U;coardiamalia@virgilio.it;A+;322;
2024-03-14;16.9049525;-55.799338;;CGNSRN80H18F503V;raffaellocalgari@fastwebnet.it;B-;125;
2020-07-11;-3.4652265;110.190647;;754-19-2989;nashelizabeth@yahoo.com;AB+;467;
2025-05-14;-18.303971;-177.138029;2023-05-15;886-87-9878;davenportmarie@yahoo.com;A-;731;
2021-10-19;-37.965774;151.628474;1975-10-17;387-40-9033;meyerchristos@gmx.de;O+;465;
2018-09-24;81.293799;-2.501449;;834-09-1838;hkobayashi@yahoo.com;A-;366;
2021-12-14;43.8680645;-85.738557;;624-24-0344;erica49@hotmail.com;B-;734;
2019-07-26;-70.564425;174.65959;1962-10-01;541-64-0156;jmcdonald@hotmail.com;AB-;503;
2025-03-22;27.5142245;-82.063801;1963-04-09;692-12-4865;mmoore@yahoo.com;A-;255;
2022-10-09;21.2478835;-103.275815;;808-49-8832;tinaoderwald@googlemail.com;O-;741;
2024-08-24;-29.5670755;-99.174643;;301-59-9178;zgrant@gmail.com;B+;544;
2019-07-30;-1.9692735;139.257676;1964-11-18;750-66-8339;troberts@hotmail.com;O+;614;
2019-10-08;9.550196;94.589399;;243-23-0224;yasuhiro39@yahoo.com;B-;471;
2022-06-09;-78.4985515;28.693006;2008-05-26;051-01-9796;naokifukuda@yahoo.com;A+;289;
2021-09-14;-4.991325;32.266832;1995-01-14;78961253077;jrezende@hotmail.com;B+;276;
2024-04-25;-87.719578;-80.656041;1929-06-17;51084973260;valentina01@gmail.com;O-;220;
2021-04-14;30.8588165;13.104085;1945-04-28;49678530139;isabelramos@gmail.com;O-;638;
2020-08-12;-80.709072;-82.753152;1934-07-09;615-71-6111;heatherramos@yahoo.com;O+;9;
2021-04-11;-78.137682;105.70117;1925-08-19;824-62-6852;stewartjordan@yahoo.com;AB-;476;
2025-04-14;;;2017-04-06;169-33-0901;haruka48@yahoo.com;A-;286;
2022-08-29;41.161202;122.471225;1924-10-20;839-43-2205;ymatsumoto@hotmail.com;O-;743;
2023-01-09;-48.098712;22.689174;1951-01-20;050-10-6960;mperez@gmail.com;AB+;271;
2022-08-25;35.4138195;-159.491681;1959-11-19;80926473131;souzavinicius@ig.com.br;O+;412;
2021-03-21;;;1938-12-14;158-80-2280;shawn71@yahoo.com;A+;679;
2025-07-15;;;;05632481735;elisaviana@yahoo.com.br;B-;185;
2022-02-04;1.829738;26.882111;;937-81-9261;dstriebitz@web.de;B-;539;
2019-03-21;15.1842665;62.565419;1965-07-09;TLRMNC27S02A215L;ornella34@gmail.com;A-;49;
2021-07-22;33.9201705;-54.54415;1992-06-20;MRNMRN01T45A058Q;jricci@hotmail.it;O-;194;
2022-08-11;65.2142555;87.1513;1917-01-20;779-86-1111;thomasjohn@gmail.com;B+;272;
2020-12-28;15.311587;41.097992;;CMPPRC38M04C704L;qborzomi@libero.it;B-;367;
2022-06-12;10.064352;118.926887;;583-90-4884;ayse13@gmail.com;A-;290;
2025-09-12;63.528275;116.375122;1973-11-23;290-51-4297;howardreginald@hotmail.com;AB+;471;
2019-03-13;-29.8362305;49.238429;;BLDGNC74R51M188P;lorenzogentileschi@live.com;A-;0;
2023-09-13;54.1224585;56.985947;;512-32-6298;pwilliams@gmail.com;AB-;546;
2022-02-09;-87.5024445;49.992839;;612-93-8083;egeissler@yahoo.de;AB+;457;
2022-06-25;;;2001-05-02;MRTVTR81T48L538W;ftassoni@gmail.com;B+;162;
2022-12-04;2.4216245;-130.19644;;757-30-9369;takumasuzuki@yahoo.com;A+;172;
2020-04-23;-74.891167;6.277231;1970-04-23;863-20-1965;fieldselizabeth@gmail.com;O-;99;
2022-06-22;60.897343;50.028404;;554-87-3469;kanaogawa@gmail.com;A-;148;
2023-09-17;-79.532217;155.202889;;667-34-4057;yamazakinaoto@yahoo.com;AB-;109;
2019-04-16;22.1097415;-92.434535;1993-09-24;854-98-0309;owallace@gmail.com;O-;418;
2025-08-01;42.2043015;67.991044;1913-06-30;MNLNGL40C65A954M;cmarcacci@outlook.com;O-;333;
2024-08-14;52.7287955;143.496257;2011-07-29;PTRFDC51T20C476E;giulio28@libero.it;A-;239;
2020-06-27;38.8004435;59.530419;2006-07-02;143-24-5804;kana95@gmail.com;AB+;193;
2021-10-11;43.581325;-125.541563;2017-09-27;161-86-5134;yokookamoto@yahoo.com;A-;741;
2024-02-23;-17.884968;142.332402;2014-10-12;053-78-2733;paffrathtony@yahoo.de;AB-;568;
2023-05-20;-75.428413;-116.844287;1952-10-18;360-65-8586;stephensimmons@yahoo.com;B+;280;
2023-05-27;-42.4444675;-90.262447;2002-01-23;405-98-7731;milanhornig@hotmail.de;B+;521;
2019-06-22;79.0063335;24.987516;;031-88-5988;briemerdoris@gmail.com;A-;374;
2018-10-10;-75.1558585;-139.556285;1930-07-04;742-16-0988;gailyork@gmail.com;AB+;286;
2024-09-10;;;;868-18-7317;athanasios99@web.de;A-;467;
2023-09-05;-32.2760735;-174.379976;2011-07-15;91684023505;gabrielaparecida@yahoo.com.br;O+;280;
2020-09-18;-44.870451;-48.758235;2001-09-01;92748136519;barbara10@yahoo.com.br;O-;611;
2024-07-31;42.8341885;86.306723;;536-37-1277;sjunk@web.de;AB+;70;
2019-12-26;-42.5380275;-43.883533;1936-09-24;001-09-0651;qokada@hotmail.com;AB+;128;
2021-02-02;49.7095715;141.024219;;031-74-4896;lidija23@gmail.com;B+;130;
2023-02-03;83.9166545;-89.49748;;78206439510;liz62@hotmail.com;A-;54;
2023-11-18;74.998254;-171.614367;;13085796401;hsilveira@ig.com.br;B-;365;
2020-07-08;-43.2083235;-133.039249;;236-11-3616;pawelrogge@aol.de;O+;703;
2023-05-09;38.505563;133.676879;2002-05-26;48721539014;luccanunes@yahoo.com.br;B+;441;
2023-09-22;74.5033685;-131.166406;;118-55-4989;wikeda@hotmail.com;O-;243;
2024-08-07;37.922575;-166.294219;1977-03-12;768-73-5784;rika38@hotmail.com;O+;705;
2024-02-09;-12.6458275;40.189009;1964-05-15;GHUGNC45A70A359S;gabriellacicilia@virgilio.it;AB-;379;
2022-10-23;32.0429825;177.647358;;CMLRBT94R02F642U;stommaseo@gmail.com;B+;206;
2025-05-30;6.692679;-178.891602;;642-19-9783;pricevictoria@yahoo.com;O+;625;
2024-02-10;29.4204955;109.459834;;427-10-6387;sakamotojun@yahoo.com;B-;286;
2021-06-26;-38.039621;-2.714955;1934-02-10;PLLVNC22D50I827X;francesconiggli@tiscali.it;O+;44;
2024-02-28;;;2013-06-27;308-79-1769;mikako73@yahoo.com;O-;349;
2023-08-24;79.587343;74.508938;1948-08-27;759-90-1648;yuki25@yahoo.com;O+;154;
2022-08-07;12.226943;-108.477596;2024-10-22;548-53-9158;smoore@yahoo.com;B+;131;
2021-10-04;-54.4792745;62.211397;1923-08-25;319-76-0769;yamadarika@gmail.com;B-;318;
2019-12-10;-86.924656;20.655988;;VCLMCL51T05D049K;ermenegildo80@gmail.com;B-;700;
2024-04-19;-76.9104985;-66.328596;1934-11-15;307-69-6261;akemitanaka@gmail.com;B+;405;
2018-12-10;-26.367109;-76.825111;;CRPRSN21C48E233Q;gionatacaccianemico@tim.it;A-;535;
2021-07-28;44.214901;-124.53476;1921-01-25;PRNMRH54M01E954L;babboamico@hotmail.com;B-;611;
2019-04-23;47.8360405;-67.209278;1991-02-28;119-58-5300;edward07@hotmail.com;A-;145;
2021-02-03;-10.108577;-39.74664;1955-03-12;006-82-9844;ilija04@hotmail.de;A-;394;
2025-04-25;-65.3587125;155.978689;;845-65-4173;steven27@gmail.com;A-;419;
2021-01-01;24.34345;-114.084259;;777-18-5019;lauren66@hotmail.com;O+;691;
2019-03-18;-37.337222;-23.583079;;785-74-6152;yumiko35@hotmail.com;O+;239;
2023-08-24;13.435063;-95.860568;2012-07-12;110-97-4542;smeza@gmail.com;O+;636;
2019-05-26;79.352135;37.834713;1998-03-22;TSCGLM69A04D567C;corradisusanna@libero.it;A+;551;
2020-12-29;21.5771535;-76.553004;;201-13-6610;james37@gmail.com;A+;605;
2021-02-11;-88.5566485;26.197432;;545-68-9289;otashohei@hotmail.com;B+;357;
